####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.530927734375
0.13499138189412055 0.054512609558092874 166449.3639290808 0.120724609375
0.29287203154454494 0.08990153312939005 240953.88518701054 0.269361328125
0.502564955751332 0.07357718429712187 36265.96796023794 0.00910546875
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
####################################
# Mu 	 Sigma 	 A 	 state_fraction
0.04898178644233934 0.02827531421063715 521591.29981157626 0.406455078125
0.11728950388803379 0.06633564822601574 223885.65128531356 0.0745703125
0.28376689314552345 0.1386124797200088 365066.0335190262 0.177978515625
